description,category,urgency_score,urgency_level,location_type,category_label,urgency_label
"Culvert filled with mud after rain, water is entering nearby shops.",drainage,8.0,high,market,1,1
फोहोर उठाउने गाडी ढिलो आउँदा व्यापारिक क्षेत्र मा फोहोर जम्मा भइरहेको छ। बाटो र क्षेत्र फोहोर भइरहेको छ।,trash,5.4,medium,commercial,7,3
"Community hall covered with political slogans in a commercial area, the same place was damaged repeatedly.",vandalism,6.5,high,commercial,8,1
"Sharp-bend sign hanging from one bolt in a public area, motorcycles are braking suddenly.",road_damaged_sign,8.5,high,public,6,1
"Sharp-bend sign hidden by branches in Tulsipur, night drivers cannot see the hazard.",road_damaged_sign,8.5,high,public,6,1
The road has a deep hole that drivers need to avoid. It is causing vehicles to shake while crossing.,pothole,9.5,critical,hospital,5,0
फोहोर उठाउने गाडी ढिलो आउँदा अस्पताल मा फोहोर जम्मा भइरहेको छ। छिटो फोहोर उठाइदिनुपर्यो।,trash,8.6,critical,hospital,7,0
"Community drain overflowing near a school after recent rain, children are walking through dirty water.",drainage,7.5,high,school,1,1
Household waste left outside homes at shops.,domestic_trash,4.5,medium,commercial,0,3
Plastic bottles scattered near the road on the industrial road.,trash,8.0,high,industrial,7,1
Bato ko bich ma khadal parera gadi haru avoid garirachan. Bato banaidina paryo.,pothole,5.0,medium,market,5,3
Plastic bottles scattered near the road at the community area.,trash,6.0,medium,public,7,3
There is a hole on the street that drivers are trying to avoid. Several motorcycles are avoiding the same spot.,pothole,9.0,critical,school,5,0
"Animal-crossing sign hidden by branches in a public area, drivers are not warned about livestock.",road_damaged_sign,7.0,high,public,6,1
"Pedestrian underpass left with broken tiles on a residential road, the same place was damaged repeatedly.",vandalism,5.5,medium,residential,8,3
"School boundary wall scraped across the surface near an industrial road, damage is visible from the school gate.",vandalism,5.0,medium,industrial,8,3
"Plastic bottles scattered near the road, on the public road.",trash,7.5,high,public,7,1
म्यानहोलको ढक्कन फुटेर आवासीय क्षेत्र को बाटोमा ठूलो खाल्डो भएको छ। मानिसहरूलाई धेरै खतरा भएको छ।,infrastructure,5.4,high,residential,4,1
"Highway drain blocked on the highway, waterlogging is slowing heavy traffic.",drainage,8.0,high,highway,1,1
Food waste is scattered around because dogs are tearing the bags. The waste is spreading after people pass by.,garbage,9.5,critical,market,2,0
