description,category,urgency_score,urgency_level,location_type,category_label,urgency_label,text_length
"Culvert filled with mud after rain, water is entering nearby shops.",drainage,8.0,high,market,1,1,11
फोहोर उठाउने गाडी ढिलो आउँदा व्यापारिक क्षेत्र मा फोहोर जम्मा भइरहेको छ। बाटो र क्षेत्र फोहोर भइरहेको छ।,trash,5.4,medium,commercial,7,3,18
"Community hall covered with political slogans in a commercial area, the same place was damaged repeatedly.",vandalism,6.5,high,commercial,8,1,16
"Sharp-bend sign hanging from one bolt in a public area, motorcycles are braking suddenly.",road_damaged_sign,8.5,high,public,6,1,14
"Sharp-bend sign hidden by branches in Tulsipur, night drivers cannot see the hazard.",road_damaged_sign,8.5,high,public,6,1,13
The road has a deep hole that drivers need to avoid. It is causing vehicles to shake while crossing.,pothole,9.5,critical,hospital,5,0,19
फोहोर उठाउने गाडी ढिलो आउँदा अस्पताल मा फोहोर जम्मा भइरहेको छ। छिटो फोहोर उठाइदिनुपर्यो।,trash,8.6,critical,hospital,7,0,14
"Community drain overflowing near a school after recent rain, children are walking through dirty water.",drainage,7.5,high,school,1,1,15
Household waste left outside homes at shops.,domestic_trash,4.5,medium,commercial,0,3,7
Plastic bottles scattered near the road on the industrial road.,trash,8.0,high,industrial,7,1,10
Bato ko bich ma khadal parera gadi haru avoid garirachan. Bato banaidina paryo.,pothole,5.0,medium,market,5,3,13
Plastic bottles scattered near the road at the community area.,trash,6.0,medium,public,7,3,10
There is a hole on the street that drivers are trying to avoid. Several motorcycles are avoiding the same spot.,pothole,9.0,critical,school,5,0,20
"Animal-crossing sign hidden by branches in a public area, drivers are not warned about livestock.",road_damaged_sign,7.0,high,public,6,1,15
"Pedestrian underpass left with broken tiles on a residential road, the same place was damaged repeatedly.",vandalism,5.5,medium,residential,8,3,16
"School boundary wall scraped across the surface near an industrial road, damage is visible from the school gate.",vandalism,5.0,medium,industrial,8,3,18
"Plastic bottles scattered near the road, on the public road.",trash,7.5,high,public,7,1,10
म्यानहोलको ढक्कन फुटेर आवासीय क्षेत्र को बाटोमा ठूलो खाल्डो भएको छ। मानिसहरूलाई धेरै खतरा भएको छ।,infrastructure,5.4,high,residential,4,1,16
"Highway drain blocked on the highway, waterlogging is slowing heavy traffic.",drainage,8.0,high,highway,1,1,11
Food waste is scattered around because dogs are tearing the bags. The waste is spreading after people pass by.,garbage,9.5,critical,market,2,0,19
"One-way sign cracked with a loose edge near a school, traffic slows while drivers confirm the route.",road_damaged_sign,4.5,medium,school,6,3,17
"Main sewer line filled with mud after rain after recent rain, water is entering nearby shops.",drainage,7.5,high,market,1,1,16
"Taxis parked at a busy junction, drivers cannot see approaching vehicles.",illegal_parking,8.0,high,market,3,1,11
Deep potholes damaging the road surface near the road junction.,infrastructure,9.5,high,highway,4,1,10
Yo khadal le bike chalauna garo bhako cha. Yaha bata hidna garo bhako cha.,pothole,8.5,high,hospital,5,1,14
"Motorcycles blocking a public bus stop, buses are stopping in the traffic lane.",illegal_parking,6.5,high,commercial,3,1,13
Household waste has been left outside for several days. The bin is too full to hold more waste.,garbage,2.0,low,market,2,2,18
"Cars left over a zebra crossing after recent rain, pedestrians are walking into traffic.",illegal_parking,7.5,high,public,3,1,14
सडक संकेत व्यापारिक क्षेत्र को चोकमा भत्किएर दुर्घटनाको डर भएको छ। नयाँ साइन राख्नुपर्यो।,road_damaged_sign,6.5,medium,commercial,6,3,14
Plastic bags and food waste are spread around the area. People are avoiding that part of the street.,garbage,7.5,high,market,2,1,18
प्लास्टिक र कागजको फोहोर बतासले उडेर व्यापारिक क्षेत्र तिर फैलिएको छ। बाटो र क्षेत्र फोहोर भइरहेको छ।,trash,4.7,medium,commercial,7,3,17
"A large pile of rubbish has been left beside the roadside near a frequently used pedestrian route, near the main road junction.",trash,4.0,medium,highway,7,3,22
"School boundary wall marked with offensive words near an industrial road, children can see inappropriate language.",vandalism,7.0,high,industrial,8,1,16
"Landslide warning sign turned toward the wrong road near a market, motorcycles are braking suddenly.",road_damaged_sign,7.5,high,market,6,1,15
Garbage is collecting near houses and the smell is getting worse. The bin is too full to hold more waste.,garbage,5.0,medium,residential,2,3,20
There is rubbish around the road and it needs cleaning. The area can be cleaned during the normal collection.,garbage,2.5,low,school,2,2,19
"Rental cars blocking a hospital entrance after recent rain, ambulances are delayed.",illegal_parking,9.5,critical,hospital,3,0,12
The road has a damaged patch with a noticeable hole. The edge of the road is also starting to break.,pothole,6.5,high,hospital,5,1,20
घरघरबाट आएको फोहोर व्यापारिक क्षेत्र को ढलसम्म पुगेको छ। फोहोर चाँडै उठाउनुपर्यो।,domestic_trash,5.8,medium,commercial,0,3,12
"Culvert leaking near a hospital since yesterday, dirty water is crossing the entrance.",drainage,8.5,high,hospital,1,1,13
The public bin is full and people are putting bags beside it. Residents are asking for the waste to be picked up.,garbage,5.5,medium,school,2,3,22
सडकको सतह भत्किएर व्यापारिक क्षेत्र मा गाडी चलाउन गाह्रो भएको छ। सरकारले चाँडै हेर्नुपर्यो।,infrastructure,6.0,medium,commercial,4,3,14
"Temple wall left with official lettering blacked out on a highway, the culturally important surface is damaged.",vandalism,7.5,high,highway,8,1,17
"Minibuses parked at a busy junction since yesterday, drivers cannot see approaching vehicles.",illegal_parking,8.0,high,market,3,1,13
Deep potholes damaging the road surface at the residential lane.,infrastructure,4.5,medium,residential,4,3,10
Household waste has been left outside for several days. The smell is noticeable around the area.,garbage,3.0,low,school,2,2,16
